rowid,kepid,kepoi_name,kepler_name,koi_period,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
2588,9451706,K00271.02,Kepler-127 c,29.39337161,0.016963,0.48118,2.5,0.1995,698.0,55.98,28.01,3,6075.0,4.263999999999999,0.32,1.352,1.225
2589,6186964,K02839.01,Kepler-1366 b,2.164570593,0.02106,7.7069,1.27,0.0273,783.0,88.91,12.4,1,3941.0,4.713,-0.04,0.554,0.578
2592,9693006,K02913.01,Kepler-1385 b,2.88878583,0.005802000000000001,0.8688799999999999,0.84,0.0415,1423.0,969.05,7.26,1,5696.0,4.247,0.44,1.331,1.139
2595,5128673,K02698.01,Kepler-1316 b,87.9724227,0.026755,0.25606,3.39,0.3859,446.0,9.37,47.14,1,5837.0,4.305,0.0,1.159,0.988
2596,6690836,K02699.01,Kepler-1317 b,0.568874717,0.017496,2.902,1.49,0.0128,1796.0,2473.19,3.675,1,5223.0,4.593,0.07,0.78,0.889
2602,12024120,K00265.01,Kepler-507 b,3.5680996119999997,0.00935,0.58177,1.36,0.0473,1407.0,926.89,7.32,1,6007.0,4.232,0.08,1.334,1.107
2603,8210018,K02762.01,Kepler-1341 b,132.9955503,0.034912,1.19696,2.51,0.4498,241.0,0.8,103.8,1,4523.0,4.636,-0.1,0.659,0.687
2604,3642289,K00301.01,Kepler-135 b,6.002548291,0.015656,0.06421,2.33,0.0697,1209.0,504.79,4.96,2,6204.0,4.269,0.26,1.36,1.257
2605,3642289,K00301.02,Kepler-135 c,11.44865823,0.008892,0.15837,1.32,0.1072,975.0,213.39,10.31,2,6204.0,4.269,0.26,1.36,1.257
2606,3662838,K00302.01,Kepler-516 b,24.85466504,0.027585000000000002,0.09592,7.61,0.1992,1095.0,339.33,14.63,2,6967.0,3.864,-0.02,2.527,1.7
2607,5966322,K00303.01,Kepler-517 b,60.92818866,0.024899,2.17742,2.78,0.2897,467.0,11.28,75.319,1,5638.0,4.359,-0.12,1.023,0.871
2608,6029239,K00304.01,Kepler-518 b,8.512037736,0.022246000000000002,7.344760000000001,2.14,0.081,839.0,117.11,30.4132,2,5767.0,4.538,-0.06,0.881,0.979
2611,12404954,K00361.01,Kepler-537 b,3.247548814,0.013203,1.55681,1.41,0.0442,1181.0,460.67,9.54,1,5703.0,4.498,0.36,0.975,1.091
2616,9070666,K03008.01,Kepler-1408 b,2.99792926,0.0062380000000000005,0.23993,1.12,0.0425,1616.0,1611.51,4.85,1,5888.0,4.061,0.14,1.645,1.136
2624,6196457,K00285.01,Kepler-92 b,13.74883059,0.019908000000000002,0.24298000000000003,3.63,0.1174,975.0,213.84,13.44,3,5862.0,4.05,0.16,1.67,1.142
2627,6063220,K00305.01,Kepler-99 b,4.6035752930000005,0.018677000000000003,2.8988400000000003,1.51,0.0503,810.0,101.65,14.81,1,4783.0,4.602,0.18,0.741,0.805
2628,6071903,K00306.01,Kepler-519 b,24.30784323,0.023893,9.3691,2.14,0.1594,532.0,18.87,66.4,1,5313.0,4.571000000000001,0.12,0.82,0.913
2629,6289257,K00307.01,Kepler-520 b,19.67409703,0.015780000000000002,0.27301,1.78,0.144,711.0,60.37,17.74,2,6023.0,4.423,-0.08,1.031,1.027
2630,10905239,K00046.01,Kepler-101 b,3.487688776,0.032422,0.57862,5.64,0.0461,1445.0,1033.07,7.19235,2,5576.0,4.065,0.3,1.593,1.074
2631,11623629,K00365.01,Kepler-538 b,81.737872,0.022652000000000002,2.4586,2.16,0.3539,385.0,5.2,95.4,2,5559.0,4.502,-0.1,0.873,0.882
2635,7175184,K00369.01,Kepler-144 b,5.88527364,0.010194,3.3725,1.59,0.0653,1253.0,583.47,18.35,2,6070.0,4.157,-0.08,1.431,1.072
2638,11403530,K03015.01,Kepler-1412 b,3.61460332,0.006019,0.9287700000000001,0.9,0.0461,1397.0,900.38,8.624,1,5799.0,4.1610000000000005,0.0,1.375,0.999
2639,5088536,K00282.02,Kepler-130 b,8.45744892,0.008246999999999999,1.36334,1.02,0.0799,982.0,220.05,17.27,3,5903.0,4.303999999999999,-0.16,1.137,0.95
2644,5096590,K03093.01,Kepler-1424 b,29.6099055,0.014184,0.00937,1.74,0.1861,629.0,37.12,7.57,1,5812.0,4.329,0.0,1.122,0.977
2646,6289257,K00307.02,Kepler-520 c,5.21104597,0.010461,0.22501999999999997,1.18,0.0594,1107.0,354.82,6.86,2,6023.0,4.423,-0.08,1.031,1.027
2650,7050989,K00312.01,Kepler-136 b,11.57890926,0.014458000000000002,4.1443,2.06,0.1062,951.0,193.48,30.85,2,6156.0,4.284,0.14,1.303,1.193
2651,7175184,K00369.02,Kepler-144 c,10.10463142,0.010177,3.7120900000000003,1.59,0.0937,1046.0,283.38,27.16,2,6070.0,4.157,-0.08,1.431,1.072
2652,8494142,K00370.01,Kepler-145 c,42.88247951,0.018777000000000002,0.32522,3.61,0.2578,709.0,59.6,31.62,2,6143.0,4.039,0.12,1.763,1.24
2653,11554435,K00063.01,Kepler-63 b,9.43414171,0.059248,2.725,5.73,0.0858,791.0,92.39,23.4,1,5578.0,4.518,0.04,0.886,0.943
2654,8494142,K00370.02,Kepler-145 b,22.95062278,0.011297,0.6783600000000001,2.17,0.1699,873.0,137.23,26.6,2,6143.0,4.039,0.12,1.763,1.24
2656,6471021,K00372.01,Kepler-539 b,125.6291479,0.082594,1.29955,10.02,0.4865,388.0,5.35,102.7,1,5819.0,4.334,-0.02,1.111,0.972
2662,7582689,K03097.01,Kepler-431 d,11.9216035,0.0073950000000000005,0.048310000000000006,0.87,0.1049,851.0,123.89,7.13,3,6006.0,4.4030000000000005,0.07,1.082,1.081
2663,7582689,K03097.02,Kepler-431 b,6.80257947,0.0061530000000000005,0.06402999999999999,0.73,0.0721,1026.0,262.26,5.39,3,6006.0,4.4030000000000005,0.07,1.082,1.081
2664,7582689,K03097.03,Kepler-431 c,8.70312154,0.006065999999999999,0.07354,0.72,0.085,945.0,188.7,6.65,3,6006.0,4.4030000000000005,0.07,1.082,1.081
2667,6196457,K00285.02,Kepler-92 c,26.723169,0.012689,0.38065,2.31,0.1829,781.0,88.1,24.3117,3,5862.0,4.05,0.16,1.67,1.142
2668,7050989,K00312.02,Kepler-136 c,16.39926461,0.013613,3.5611099999999998,1.94,0.134,847.0,121.53,36.99,2,6156.0,4.284,0.14,1.303,1.193
